March 9  内蒙古县界--线条类型9
0 0 0 0 0 0 0 0 0 0
2  5      1  8421504       1   65535  000 000
114.081  42.812
113.984  42.957
2  5      1  8421504       1   65535  000 000
115.285  43.922
115.333  44.066
2  5      1  8421504       1   65535  000 000
121.212  47.830
121.212  48.023
2  5      1  8421504       1   65535  000 000
119.718  47.444
119.863  47.588
2  5      1  8421504       1   65535  000 000
113.888  42.619
114.081  42.715
2  5      1  8421504       1   65535  000 000
122.127  43.391
122.272  43.487
2  5      1  8421504       1   65535  000 000
121.549  47.154
121.693  47.299
2  5      1  8421504       1   65535  000 000
109.118  40.206
109.070  40.351
2  5      1  8421504       1   65535  000 000
113.888  41.654
114.081  41.702
2  5      1  8421504       1   65535  000 000
107.239  41.027
107.335  41.171
15  5      1  8421504       1   65535  000 000
121.712  52.315
121.672  52.307
121.677  52.273
121.544  52.247
121.527  52.213
121.482  52.195
121.525  52.139
121.569  52.139
121.569  52.139
121.656  52.095
121.685  52.050
121.761  52.065
121.761  52.065
121.753  52.024
121.782  52.001
5  5      1  8421504       1   65535  000 000
122.848  51.476
122.788  51.478
122.788  51.478
122.746  51.420
122.629  51.339
14  5      1  8421504       1   65535  000 000
122.725  51.832
122.662  51.799
122.541  51.799
122.541  51.799
122.505  51.733
122.444  51.697
122.462  51.647
122.393  51.593
122.437  51.503
122.517  51.458
122.519  51.386
122.580  51.378
122.588  51.341
122.629  51.339
20  5      1  8421504       1   65535  000 000
122.629  51.339
122.656  51.305
122.623  51.267
122.629  51.219
122.655  51.210
122.660  51.227
122.660  51.227
122.689  51.224
122.700  51.170
122.659  51.132
122.672  51.084
122.528  51.024
122.542  50.937
122.561  50.920
122.597  50.923
122.597  50.923
122.591  50.906
122.515  50.854
122.485  50.779
122.281  50.785
24  5      1  8421504       1   65535  000 000
122.281  50.785
122.282  50.832
122.246  50.869
122.183  50.871
122.183  50.871
122.104  50.840
122.013  50.868
122.013  50.868
121.910  50.798
121.818  50.808
121.818  50.808
121.706  50.765
121.661  50.711
121.603  50.689
121.547  50.689
121.547  50.689
121.492  50.662
121.455  50.598
121.351  50.593
121.210  50.534
121.156  50.529
121.114  50.496
121.051  50.489
121.004  50.505
3  5      1  8421504       1   65535  000 000
121.004  50.505
120.920  50.449
120.799  50.431
4  5      1  8421504       1   65535  000 000
120.584  50.371
120.666  50.380
120.690  50.404
120.799  50.431
54  5      1  8421504       1   65535  000 000
121.782  52.001
121.750  51.944
121.684  51.931
121.665  51.864
121.616  51.851
121.606  51.809
121.566  51.776
121.558  51.714
121.479  51.660
121.410  51.656
121.412  51.529
121.443  51.480
121.338  51.454
121.336  51.410
121.218  51.332
121.088  51.307
121.016  51.231
121.029  51.149
120.969  51.078
120.932  51.055
120.884  51.057
